,facebook_ads,instagram_new_adverts,yandex_direct,youtube_channel_reklama
0,0.15347717660231375,0.18638023025276113,0.25729123381828906,0.3013334081594763
1,0.2238072590206301,0.2688668412786139,0.37324155958508376,0.43351902892016864
2,0.3000227039844123,0.35540167624566477,0.49781214476952346,0.576714656764548
3,0.37790566833607636,0.45126361917323604,0.6279937351749029,0.7301338626152077
4,0.4590909750049185,0.548097135846695,0.7612159261748698,0.8849293193513285
5,0.5406686391767918,0.6438295356081479,0.8910213598056611,1.0354649519181656
6,0.6098543455446009,0.7291984820801337,1.009604782994573,1.1676505726788582
7,0.6556293875648904,0.7861974751722032,1.0860273010317303,1.2582865238499228
8,0.6986252306053766,0.8392777874891928,1.1544564876088896,1.3424999708888368
9,0.7355722288074674,0.8854275404188513,1.2169298585884036,1.4102639430586712
10,0.766797346757022,0.9221854138049302,1.269748539020155,1.4712777323141026
11,0.790436886314643,0.9529519157580357,1.3089315363730867,1.5166284757778603
12,0.8083218491611418,0.9760429851186297,1.338741960759197,1.5521488557740406
13,0.8216293078056118,0.9916529366358895,1.3596186617488386,1.5762660141478304
